Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,2016-12-05 16:05:23,false,Chappaqua Running,0.06,5,0:14.9,--,--,0,195,219,3:54,3:36,--,--,2.12,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 15:49:56,false,Chappaqua Running,1.4,149,11:21,--,--,0,158,171,8:08,7:16,105,87,1.25,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 15:46:17,false,Chappaqua Running,0.07,4,0:13.5,--,--,0,200,226,3:26,3:15,--,--,2.35,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 15:43:53,false,Chappaqua Running,0.07,4,0:13.2,--,--,0,175,228,3:09,3:08,--,--,2.93,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 15:41:29,false,Chappaqua Running,0.06,4,0:13.5,--,--,0,181,226,3:34,3:04,--,--,2.5,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 15:40:23,false,Chappaqua Running,0.06,4,0:13.7,--,--,0,175,223,3:36,3:17,--,--,2.55,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 15:39:14,false,Chappaqua Running,0.07,4,0:14.2,--,--,0,121,123,3:37,3:26,--,--,3.67,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 15:38:06,false,Chappaqua Running,0.07,5,0:15.7,--,--,0,187,209,3:56,2:37,--,--,2.19,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-05 15:15:30,false,Running,0.8,84,5:30.8,--,--,0,160,236,6:56,5:29,--,--,1.45,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-02 15:38:00,false,Running,4.3,468,32:11,--,--,0,163,179,7:29,5:44,--,--,1.32,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-01 15:32:21,false,Chappaqua Running,6.82,735,49:47,--,--,0,163,177,7:18,3:19,473,473,1.35,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-12-01 15:13:24,false,Chappaqua Running,0.84,81,5:26.1,--,--,0,166,178,6:30,0:42,--,--,1.49,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-29 15:24:38,false,Chappaqua Running,5.97,645,45:05,--,--,0,161,183,7:33,4:16,368,360,1.32,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-29 15:12:19,false,Running,0.77,81,4:54.8,--,--,0,166,173,6:25,5:53,--,--,1.52,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-28 16:18:41,false,Chappaqua Running,0.08,7,0:22.5,--,--,0,185,222,4:42,4:03,47,--,1.86,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-28 16:16:27,false,Chappaqua Running,0.08,7,0:23.3,--,--,0,146,222,4:50,4:18,48,--,2.29,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-28 16:14:24,false,Chappaqua Running,0.08,6,0:23.6,--,--,0,150,214,5:07,4:10,--,--,2.1,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-28 16:12:22,false,Chappaqua Running,0.08,7,0:23.5,--,--,0,183,221,4:42,4:13,50,--,1.87,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-28 16:04:37,false,Chappaqua Running,0.86,92,6:57.6,--,--,0,157,163,8:07,6:36,8,77,1.27,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-28 16:04:03,false,Chappaqua Running,0.09,8,0:24.4,--,--,0,161,219,4:47,4:13,50,--,2.1,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2016-11-28 16:01:35,false,Chappaqua Running,0.08,6,0:25.3,--,--,0,123,205,5:35,4:40,47,--,2.34,0,0,--,--,--,--,0,--,--,--,--,--,--
